ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Age,Customer_Tenure_Years,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Average_Spending_per_Purchase,Digital_Engagement,Deal_Dependency,Preferred_Shopping_Channel,Product_Preference,Customer_Activity_Level
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0.0,2,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,42,42,0.62,1,2,19.0,3,0,6.333333333333333,8,0.3333333333333333,Store,Meat,Highly Active
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11.0,1,16.0,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49,49,1.62,0,1,61.0,5,0,12.2,10,0.2,Store,Fruits,Moderately Active
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,120.5,81,30.0,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66,66,0.62,0,1,966.5,15,0,64.43333333333334,5,0.06666666666666667,Store,Meat,Inactive
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3.0,5,14.0,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73,73,0.62,2,3,310.0,12,0,25.833333333333332,12,0.25,Web,Wine,Moderately Active
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6.0,1,5.0,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,38,1.72,0,1,46.0,4,0,11.5,9,0.25,Store,Meat,Moderately Active
2114,1946,Phd,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59.0,68,45.0,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79,79,1.59,0,1,1315.0,25,2,52.6,10,0.04,Store,Wine,Highly Active
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2.0,13,4.0,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45,45,1.51,2,3,96.0,6,0,16.0,11,0.5,Web,Wine,Moderately Active
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,120.5,12,28.0,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79,79,1.83,0,1,287.5,11,0,26.136363636363637,11,0.18181818181818182,Store,Fish,Highly Active
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0.0,16,126.5,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76,76,1.25,1,2,1732.5,24,1,72.1875,16,0.08333333333333333,Web,Wine,Inactive
2278,1985,2N Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30.0,24,39.0,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,40,1.65,1,2,133.0,6,0,22.166666666666668,8,0.3333333333333333,Store,Gold,Inactive
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69.0,38,48.0,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,43,1.89,0,1,316.0,11,0,28.727272727272727,12,0.09090909090909091,Store,Wine,Moderately Active
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,556,1.0,1,1.0,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,46,1.48,1,2,561.0,28,0,20.035714285714285,1,0.5357142857142857,Catalog,Meat,Moderately Active
1993,1949,Phd,Married,58607.0,0,1,2012-12-23,63,867,0,86,0.0,0,19.0,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76,76,1.51,1,2,972.0,14,1,69.42857142857143,10,0.21428571428571427,Store,Wine,Inactive
4047,1954,Phd,Married,65324.0,0,1,2014-01-11,0,384,0,102,21.0,32,5.0,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,71,0.46,1,2,544.0,17,0,32.0,10,0.17647058823529413,Store,Wine,Highly Active
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39.0,6,99.0,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74,74,1.28,1,2,444.0,13,0,34.15384615384615,15,0.5384615384615384,Web,Wine,Inactive
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15.0,12,13.0,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,56,1.49,0,1,75.0,6,0,12.5,9,0.3333333333333333,Store,Meat,Inactive
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3.0,6,41.0,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49,49,1.09,2,3,257.0,10,0,25.7,12,0.4,Web,Wine,Highly Active
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3.0,81,126.5,0,27,0,0,1,0,0,0,0,0,0,3,11,0,39,39,1.35,1,2,219.5,27,0,8.12962962962963,28,0.0,Web,Gold,Highly Active
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20.0,21,10.0,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36,36,1.08,1,2,131.0,7,0,18.714285714285715,5,0.2857142857142857,Store,Meat,Highly Active
1966,1965,Phd,Married,84618.0,0,0,2013-11-22,96,684,81,556,21.0,66,0.0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60,60,0.6,0,1,1408.0,25,1,56.32,8,0.04,Store,Wine,Inactive
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2.0,2,4.0,2,3,0,3,5,0,0,0,0,0,0,3,11,0,36,36,0.1,0,1,30.0,6,0,5.0,8,0.3333333333333333,Web,Meat,Moderately Active
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,62,1.13,0,1,318.0,10,0,31.8,5,0.1,Catalog,Wine,Moderately Active
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2.0,0,3.0,2,2,1,4,5,0,1,0,0,0,0,3,11,0,55,55,1.72,1,2,120.0,7,1,17.142857142857142,7,0.2857142857142857,Store,Wine,Moderately Active
7373,1952,Phd,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33.0,22,43.0,6,4,1,6,6,0,0,0,0,0,0,3,11,1,73,73,1.66,2,3,302.0,11,0,27.454545454545453,10,0.5454545454545454,Store,Wine,Highly Active
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119.0,68,22.0,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79,79,1.35,0,1,1196.0,17,0,70.3529411764706,10,0.058823529411764705,Store,Wine,Highly Active
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2.0,1,3.0,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74,74,0.83,2,3,65.0,5,0,13.0,9,0.2,Store,Wine,Moderately Active
4339,1970,Phd,Married,67353.0,0,1,2013-12-31,37,702,17,151,0.0,8,35.0,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55,55,0.49,1,2,913.0,23,0,39.69565217391305,7,0.21739130434782608,Store,Wine,Moderately Active
10755,1976,2N Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15.0,7,36.0,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49,49,0.82,1,2,81.0,6,0,13.5,10,0.5,Web,Gold,Inactive
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2.0,0,4.0,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52,52,0.38,1,2,67.0,5,0,13.4,6,0.4,Store,Wine,Inactive
2968,1943,Phd,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,120.5,49,42.0,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82,82,1.4,0,1,862.5,22,1,39.20454545454545,13,0.09090909090909091,Catalog,Wine,Moderately Active
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82.0,81,102.0,2,8,6,5,4,0,0,0,0,0,0,3,11,0,45,45,1.17,1,2,1298.0,19,0,68.3157894736842,12,0.10526315789473684,Web,Meat,Highly Active
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3.0,0,7.0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40,40,1.3,1,2,53.0,5,0,10.6,10,0.4,Store,Meat,Inactive
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3.0,1,3.0,1,0,0,3,5,0,0,0,0,0,0,3,11,0,68,68,1.51,1,2,22.0,3,0,7.333333333333333,5,0.3333333333333333,Store,Wine,Highly Active
7281,1959,Phd,Single,51381.5,0,0,2013-11-05,80,81,11,50,3.0,2,39.0,1,1,3,4,2,0,0,0,0,0,0,3,11,0,66,66,0.65,0,1,186.0,8,0,23.25,3,0.125,Store,Wine,Inactive
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3.0,2,12.0,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50,50,0.74,1,2,31.0,5,0,6.2,7,0.6,Store,Gold,Highly Active
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,81,266,120.5,30,126.5,1,2,4,9,1,0,0,0,0,0,0,3,11,0,49,49,0.0,0,1,747.0,15,0,49.8,3,0.06666666666666667,Store,Meat,Inactive
9909,1996,2N Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15.0,22,50.0,3,3,1,3,9,0,0,0,0,0,0,3,11,1,29,29,1.63,0,1,122.0,7,0,17.428571428571427,12,0.42857142857142855,Web,Gold,Highly Active
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3.0,5,13.0,1,2,0,2,10,0,0,0,0,0,0,3,11,0,57,57,1.1,1,2,55.0,4,0,13.75,12,0.25,Web,Meat,Inactive
7244,1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48,5,48,6.0,10,7.0,3,2,1,4,6,0,0,0,0,0,0,3,11,0,74,74,0.49,3,4,124.0,7,0,17.714285714285715,8,0.42857142857142855,Store,Wine,Inactive
6566,1954,Phd,Married,72550.0,1,1,2012-11-08,39,826,50,317,50.0,38,38.0,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71,71,1.64,2,3,1319.0,19,0,69.42105263157895,13,0.47368421052631576,Store,Wine,Moderately Active
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37.0,67,14.0,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68,68,0.13,1,2,507.0,16,0,31.6875,6,0.0625,Store,Wine,Highly Active
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,556,27.0,81,32.0,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61,61,1.88,0,1,1383.0,28,0,49.392857142857146,9,0.03571428571428571,Store,Wine,Highly Active
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30.0,1,3.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,48,1.49,1,2,72.0,5,0,14.4,9,0.4,Store,Fish,Moderately Active
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,81,550,120.5,40,126.5,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48,48,0.06,0,1,1428.0,20,2,71.4,5,0.05,Catalog,Meat,Moderately Active
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12.0,24,109.0,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47,47,1.05,2,3,606.0,16,0,37.875,7,0.4375,Store,Wine,Moderately Active
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,120.5,81,126.5,1,3,10,13,1,0,0,1,0,0,0,3,11,1,70,70,1.61,0,1,1795.0,26,1,69.03846153846153,4,0.038461538461538464,Store,Wine,Moderately Active
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,120.5,81,40.0,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59,59,1.24,0,1,1053.5,20,0,52.675,8,0.05,Store,Meat,Highly Active
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2.0,1,5.0,1,1,0,4,3,0,0,0,0,0,0,3,11,0,37,37,0.17,1,2,29.0,5,0,5.8,4,0.2,Store,Wine,Moderately Active
8557,1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11,3,22,2.0,2,6.0,2,2,0,3,6,0,0,0,0,0,0,3,11,0,43,43,1.03,1,2,46.0,5,0,9.2,8,0.4,Store,Meat,Moderately Active
8375,1968,Phd,Married,55954.0,0,1,2014-03-03,63,447,0,28,0.0,0,43.0,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57,57,0.32,1,2,518.0,16,0,32.375,15,0.1875,Web,Wine,Inactive
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69.0,13,80.0,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43,43,0.99,0,1,1438.0,20,2,71.9,4,0.05,Store,Wine,Highly Active
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16.0,18,6.0,4,4,2,12,3,0,0,0,0,0,0,3,11,0,50,50,1.81,2,3,612.0,18,0,34.0,7,0.2222222222222222,Store,Wine,Highly Active
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37.0,14,126.5,4,8,2,10,7,0,0,0,0,0,0,3,11,0,73,73,1.36,1,2,841.5,20,0,42.075,15,0.2,Store,Wine,Highly Active
6518,1951,Phd,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0.0,6,6.0,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74,74,1.05,1,2,606.0,18,0,33.666666666666664,12,0.05555555555555555,Store,Wine,Highly Active
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119.0,81,30.0,1,7,4,4,4,0,0,0,0,0,0,3,11,0,77,77,0.56,0,1,1035.0,15,0,69.0,11,0.06666666666666667,Web,Wine,Highly Active
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3.0,6,15.0,1,1,1,2,7,0,0,0,0,0,0,3,11,1,54,54,1.11,1,2,34.0,4,0,8.5,8,0.25,Store,Gold,Inactive
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0.0,0,0.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58,58,0.13,2,3,11.0,3,0,3.6666666666666665,8,0.3333333333333333,Store,Wine,Highly Active
9369,1979,2N Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,120.5,24,38.0,1,11,10,10,5,1,0,0,1,0,0,3,11,1,46,46,0.28,1,2,1193.5,31,2,38.5,16,0.03225806451612903,Web,Wine,Highly Active
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7.0,81,109.0,1,5,2,10,4,0,0,0,0,0,0,3,11,0,67,67,0.75,1,2,652.0,17,0,38.35294117647059,9,0.058823529411764705,Store,Wine,Highly Active
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58.0,29,73.0,7,2,5,5,5,0,0,0,0,0,0,3,11,0,55,55,1.22,3,4,1562.0,12,0,130.16666666666666,7,0.5833333333333334,Catalog,Wine,Inactive
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,120.5,60,12.0,3,4,8,6,3,0,0,0,0,0,0,3,11,0,71,71,1.8,0,1,1184.5,18,0,65.80555555555556,7,0.16666666666666666,Catalog,Wine,Highly Active
10629,1973,2N Cycle,Married,51381.5,1,0,2012-09-14,25,25,3,43,17.0,4,17.0,3,3,0,3,8,0,0,0,0,0,0,3,11,0,52,52,1.79,1,2,109.0,6,0,18.166666666666668,11,0.5,Web,Meat,Highly Active
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,81,291,84.0,37,86.0,4,10,3,13,7,0,0,0,0,0,0,3,11,0,66,66,1.28,1,2,837.0,26,0,32.19230769230769,17,0.15384615384615385,Store,Meat,Highly Active
8132,1975,Phd,Married,60631.0,1,1,2013-04-05,88,565,6,65,0.0,6,19.0,5,9,2,8,7,0,1,0,0,0,0,3,11,0,50,50,1.23,2,3,661.0,19,1,34.78947368421053,16,0.2631578947368421,Web,Wine,Inactive
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4.0,15,9.0,1,2,1,4,2,0,0,0,0,0,0,3,11,0,73,73,0.16,0,1,65.0,7,0,9.285714285714286,4,0.14285714285714285,Store,Sweets,Moderately Active
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2.0,1,1.0,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48,48,1.52,1,2,13.0,3,0,4.333333333333333,7,0.3333333333333333,Store,Meat,Inactive
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,81,556,97.0,18,18.0,1,7,6,5,5,0,0,0,0,0,0,3,11,1,53,53,1.84,0,1,1491.0,18,0,82.83333333333333,12,0.05555555555555555,Web,Wine,Moderately Active
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,81,556,120.5,81,51.0,0,5,8,9,4,1,0,0,0,0,0,3,11,1,49,49,1.71,0,1,1921.5,22,1,87.3409090909091,9,0.0,Store,Wine,Moderately Active
10401,1976,2N Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0.0,3,9.0,1,0,0,3,3,0,0,0,0,0,1,3,11,0,49,49,0.82,0,1,18.0,3,0,6.0,3,0.3333333333333333,Store,Gold,Highly Active
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0.0,0,51.0,2,10,1,8,8,1,0,0,0,0,0,3,11,1,60,60,1.49,0,1,692.0,19,1,36.421052631578945,18,0.10526315789473684,Web,Wine,Highly Active
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7.0,5,17.0,4,3,1,4,8,0,0,0,0,0,0,3,11,0,40,40,1.83,1,2,165.0,8,0,20.625,11,0.5,Store,Meat,Inactive
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2.0,0,4.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,56,1.02,1,2,16.0,3,0,5.333333333333333,8,0.3333333333333333,Store,Meat,Highly Active
5346,1973,2N Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7.0,0,23.0,3,3,0,3,7,0,0,0,0,0,0,3,11,0,52,52,0.99,1,2,79.0,6,0,13.166666666666666,10,0.5,Web,Wine,Inactive
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,62,1.13,0,1,318.0,10,0,31.8,5,0.1,Catalog,Wine,Moderately Active
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27.0,65,76.0,1,3,10,13,1,0,0,0,0,0,0,3,11,0,38,38,0.34,0,1,778.0,26,0,29.923076923076923,4,0.038461538461538464,Store,Meat,Highly Active
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10.0,4,3.0,2,1,0,4,7,0,0,0,0,0,0,3,11,0,65,65,0.88,2,3,56.0,5,0,11.2,8,0.4,Store,Wine,Inactive
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0.0,0,5.0,5,3,1,4,7,0,1,0,0,0,0,3,11,0,55,55,0.95,2,3,151.0,8,1,18.875,10,0.625,Store,Wine,Moderately Active
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0.0,3,34.0,4,6,1,6,7,0,1,0,1,0,0,3,11,1,68,68,0.09,1,2,372.0,13,2,28.615384615384617,13,0.3076923076923077,Web,Wine,Highly Active
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,556,110.0,81,126.5,1,5,6,7,2,0,0,1,0,0,0,3,11,0,52,52,0.13,0,1,1283.5,18,1,71.30555555555556,7,0.05555555555555555,Store,Meat,Inactive
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4.0,0,7.0,1,2,2,5,2,0,0,0,0,0,0,3,11,0,58,58,0.44,1,2,194.0,9,0,21.555555555555557,4,0.1111111111111111,Store,Wine,Inactive
8996,1957,Phd,Married,51381.5,2,1,2012-11-19,4,230,42,192,49.0,37,53.0,12,7,2,8,9,0,0,0,0,0,0,3,11,0,68,68,1.61,3,4,603.0,17,0,35.470588235294116,16,0.7058823529411765,Store,Wine,Highly Active
9235,1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7,0,8,2.0,0,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,68,68,0.09,2,3,18.0,3,0,6.0,8,0.3333333333333333,Store,Meat,Moderately Active
5798,1973,Master,Together,51381.5,0,0,2013-11-23,87,445,37,359,98.0,28,18.0,1,2,4,8,1,0,0,0,0,0,0,3,11,0,52,52,0.6,0,1,985.0,14,0,70.35714285714286,3,0.07142857142857142,Store,Wine,Inactive
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0.0,1,4.0,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53,53,0.27,1,2,32.0,4,0,8.0,8,0.25,Store,Wine,Inactive
2230,1970,Phd,Married,23626.0,1,0,2014-05-24,84,27,2,14,0.0,0,0.0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,55,55,0.1,1,2,43.0,7,0,6.142857142857143,8,0.42857142857142855,Web,Wine,Inactive
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12.0,5,9.0,1,2,0,3,6,0,0,0,0,0,0,3,11,0,42,42,0.1,1,2,45.0,5,0,9.0,8,0.2,Store,Fish,Highly Active
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0.0,0,75.0,5,7,4,6,6,0,1,0,0,0,0,3,11,0,65,65,1.6,1,2,606.0,17,1,35.64705882352941,13,0.29411764705882354,Web,Wine,Inactive
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0.0,1,2.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0,53,53,1.22,2,3,63.0,5,0,12.6,9,0.4,Store,Wine,Moderately Active
4646,1951,2N Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75.0,0,126.5,1,5,7,12,2,0,0,0,1,0,0,3,11,0,74,74,0.57,0,1,881.5,24,1,36.729166666666664,7,0.041666666666666664,Store,Meat,Moderately Active
3037,1983,Phd,Married,50150.0,0,0,2013-06-20,32,135,46,92,65.0,61,11.0,2,5,2,7,5,0,0,0,0,0,0,3,11,0,42,42,1.02,0,1,410.0,14,0,29.285714285714285,10,0.14285714285714285,Store,Wine,Moderately Active
1473,1960,2N Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2.0,1,10.0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,65,65,0.93,1,2,72.0,5,0,14.4,10,0.4,Store,Wine,Highly Active
1016,1959,Phd,Single,34554.0,0,1,2014-03-30,43,41,1,6,2.0,0,5.0,2,2,0,3,6,0,0,0,0,0,0,3,11,0,66,66,0.25,1,2,55.0,5,0,11.0,8,0.4,Store,Wine,Moderately Active
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,81,183,120.5,81,111.0,2,9,5,11,5,0,0,0,0,0,0,3,11,0,46,46,1.19,1,2,962.5,25,0,38.5,14,0.08,Store,Wine,Moderately Active
9370,1945,Phd,Married,65846.0,0,0,2013-05-17,68,562,81,276,80.0,40,81.0,1,6,3,6,4,0,0,0,0,0,0,3,11,0,80,80,1.12,0,1,1120.0,15,0,74.66666666666667,10,0.06666666666666667,Web,Wine,Inactive
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,556,50.0,26,38.0,1,3,11,5,1,0,0,0,0,0,0,3,11,1,66,66,0.14,0,1,963.0,19,0,50.68421052631579,4,0.05263157894736842,Catalog,Meat,Moderately Active
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10.0,0,9.0,1,1,0,3,5,0,0,0,0,0,0,3,11,0,46,46,0.55,1,2,29.0,4,0,7.25,6,0.25,Store,Fish,Inactive
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2.0,1,7.0,4,4,1,4,7,0,0,0,0,0,0,3,11,0,61,61,0.76,2,3,187.0,9,0,20.77777777777778,11,0.4444444444444444,Web,Wine,Highly Active
