Customer_Age,Income,Total_Children,Family_Size,Total_Spending,Average_Spending_per_Purchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Campaign_Acceptance,Response,Digital_Engagement,NumWebVisitsMonth,Recency,Customer_Tenure_Years,Deal_Dependency,NumDealsPurchases
36,10979.0,0,1,30.0,5.0,8,4,10,2.0,2,4.0,6,3,0,3,0,0,8,5,34,0.1,0.3333333333333333,2
62,38620.0,0,1,318.0,31.8,112,17,44,34.0,22,89.0,10,2,5,3,0,0,5,3,56,1.13,0.1,1
55,40548.0,1,2,120.0,17.142857142857142,110,0,5,2.0,0,3.0,7,2,1,4,1,0,7,5,31,1.72,0.2857142857142857,2
73,46610.0,2,3,302.0,27.454545454545453,96,12,96,33.0,22,43.0,11,4,1,6,0,1,10,6,8,1.66,0.5454545454545454,6
79,68657.0,0,1,1196.0,70.3529411764706,482,34,471,119.0,68,22.0,17,3,5,9,0,0,10,7,4,1.35,0.058823529411764705,1
74,49389.0,2,3,65.0,13.0,40,0,19,2.0,1,3.0,5,2,0,3,0,0,9,7,55,0.83,0.2,1
55,67353.0,1,2,913.0,39.69565217391305,702,17,151,0.0,8,35.0,23,5,6,12,0,0,7,2,37,0.49,0.21739130434782608,5
49,23718.0,1,2,81.0,13.5,6,3,14,15.0,7,36.0,6,3,1,2,0,0,10,7,76,0.82,0.5,3
52,42429.0,1,2,67.0,13.4,55,0,6,2.0,0,4.0,5,1,1,3,0,0,6,5,99,0.38,0.4,2
82,48948.0,0,1,862.5,39.20454545454545,437,8,206,120.5,49,42.0,22,7,10,5,1,1,13,6,53,1.4,0.09090909090909091,2
45,80011.0,1,2,1298.0,68.3157894736842,421,76,536,82.0,81,102.0,19,8,6,5,0,0,12,4,3,1.17,0.10526315789473684,2
40,20559.0,1,2,53.0,10.6,13,1,29,3.0,0,7.0,5,2,0,3,0,0,10,8,88,1.3,0.4,2
68,21994.0,1,2,22.0,7.333333333333333,9,0,6,3.0,1,3.0,3,0,0,3,0,0,5,5,4,1.51,0.3333333333333333,1
66,51381.5,0,1,186.0,23.25,81,11,50,3.0,2,39.0,8,1,3,4,0,0,3,2,80,0.65,0.125,1
50,7500.0,1,2,31.0,6.2,3,1,10,3.0,2,12.0,5,2,0,3,0,0,7,5,19,0.74,0.6,3
49,79941.0,0,1,747.0,49.8,123,81,266,120.5,30,126.5,15,2,4,9,0,0,3,1,72,0.0,0.06666666666666667,1
29,7500.0,0,1,122.0,17.428571428571427,3,18,14,15.0,22,50.0,7,3,1,3,0,1,12,9,24,1.63,0.42857142857142855,3
57,41728.0,1,2,55.0,13.75,13,6,15,3.0,5,13.0,4,2,0,2,0,0,12,10,92,1.1,0.25,1
74,51381.5,3,4,124.0,17.714285714285715,48,5,48,6.0,10,7.0,7,2,1,4,0,0,8,6,96,0.49,0.42857142857142855,3
71,72550.0,2,3,1319.0,69.42105263157895,826,50,317,50.0,38,38.0,19,5,2,12,0,0,13,8,39,1.64,0.47368421052631576,9
68,65486.0,1,2,507.0,31.6875,245,19,125,37.0,67,14.0,16,4,2,10,0,0,6,2,29,0.13,0.0625,1
61,79143.0,0,1,1383.0,49.392857142857146,650,37,556,27.0,81,32.0,28,6,9,13,0,0,9,3,2,1.88,0.03571428571428571,1
48,35790.0,1,2,72.0,14.4,12,6,20,30.0,1,3.0,5,2,0,3,0,0,9,7,54,1.49,0.4,2
48,82582.0,0,1,1428.0,71.4,510,81,550,120.5,40,126.5,20,4,9,7,2,1,5,1,54,0.06,0.05,1
47,66373.0,2,3,606.0,37.875,328,9,124,12.0,24,109.0,16,4,2,10,0,0,7,3,57,1.05,0.4375,7
70,82384.0,0,1,1795.0,69.03846153846153,984,51,432,120.5,81,126.5,26,3,10,13,1,1,4,1,55,1.61,0.038461538461538464,1
59,70287.0,0,1,1053.5,52.675,295,35,482,120.5,81,40.0,20,5,5,10,0,1,8,3,30,1.24,0.05,1
37,27938.0,1,2,29.0,5.8,13,0,8,2.0,1,5.0,5,1,0,4,0,0,4,3,31,0.17,0.2,1
43,51381.5,1,2,46.0,9.2,11,3,22,2.0,2,6.0,5,2,0,3,0,0,8,6,57,1.03,0.4,2
57,55954.0,1,2,518.0,32.375,447,0,28,0.0,0,43.0,16,8,2,6,0,0,15,7,63,0.32,0.1875,3
43,75777.0,0,1,1438.0,71.9,712,26,538,69.0,13,80.0,20,3,6,11,2,1,4,1,12,0.99,0.05,1
50,66653.0,2,3,612.0,34.0,452,18,102,16.0,18,6.0,18,4,2,12,0,0,7,3,18,1.81,0.2222222222222222,4
73,61823.0,1,2,841.5,42.075,523,7,134,37.0,14,126.5,20,8,2,10,0,0,15,7,26,1.36,0.2,4
74,67680.0,1,2,606.0,33.666666666666664,546,0,48,0.0,6,6.0,18,7,3,8,0,0,12,5,8,1.05,0.05555555555555555,1
77,70666.0,0,1,1035.0,69.0,398,40,367,119.0,81,30.0,15,7,4,4,0,0,11,4,29,0.56,0.06666666666666667,1
54,25721.0,1,2,34.0,8.5,1,3,6,3.0,6,15.0,4,1,1,2,0,1,8,7,75,1.11,0.25,1
58,32474.0,2,3,11.0,3.6666666666666665,10,0,1,0.0,0,0.0,3,1,0,2,0,0,8,7,0,0.13,0.3333333333333333,1
46,88194.0,1,2,1193.5,38.5,688,14,309,120.5,24,38.0,31,11,10,10,2,1,16,5,19,0.28,0.03225806451612903,1
67,69096.0,1,2,652.0,38.35294117647059,247,49,159,7.0,81,109.0,17,5,2,10,0,0,9,4,4,0.75,0.058823529411764705,1
55,74854.0,3,4,1562.0,130.16666666666666,856,59,487,58.0,29,73.0,12,2,5,5,0,0,7,5,90,1.22,0.5833333333333334,7
71,66991.0,0,1,1184.5,65.80555555555556,496,36,460,120.5,60,12.0,18,4,8,6,0,0,7,3,1,1.8,0.16666666666666666,3
52,51381.5,1,2,109.0,18.166666666666668,25,3,43,17.0,4,17.0,6,3,0,3,0,0,11,8,25,1.79,0.5,3
66,65031.0,1,2,837.0,32.19230769230769,258,81,291,84.0,37,86.0,26,10,3,13,0,0,17,7,29,1.28,0.15384615384615385,4
50,60631.0,2,3,661.0,34.78947368421053,565,6,65,0.0,6,19.0,19,9,2,8,1,0,16,7,88,1.23,0.2631578947368421,5
73,28332.0,0,1,65.0,9.285714285714286,14,10,13,4.0,15,9.0,7,2,1,4,0,0,4,2,58,0.16,0.14285714285714285,1
48,40246.0,1,2,13.0,4.333333333333333,2,1,6,2.0,1,1.0,3,1,0,2,0,0,7,6,68,1.52,0.3333333333333333,1
53,75251.0,0,1,1491.0,82.83333333333333,721,81,556,97.0,18,18.0,18,7,6,5,0,1,12,5,34,1.84,0.05555555555555555,1
49,75825.0,0,1,1921.5,87.3409090909091,1032,81,556,120.5,81,51.0,22,5,8,9,1,1,9,4,40,1.71,0.0,0
49,26326.0,0,1,18.0,6.0,1,0,5,0.0,3,9.0,3,0,0,3,0,0,3,3,12,0.82,0.3333333333333333,1
60,56046.0,0,1,692.0,36.421052631578945,577,0,64,0.0,0,51.0,19,10,1,8,1,1,18,8,9,1.49,0.10526315789473684,2
40,29760.0,1,2,165.0,20.625,64,4,68,7.0,5,17.0,8,3,1,4,0,0,11,8,87,1.83,0.5,4
56,26304.0,1,2,16.0,5.333333333333333,4,1,5,2.0,0,4.0,3,1,0,2,0,0,8,7,5,1.02,0.3333333333333333,1
52,23559.0,1,2,79.0,13.166666666666666,25,5,19,7.0,0,23.0,6,3,0,3,0,0,10,7,87,0.99,0.5,3
62,38620.0,0,1,318.0,31.8,112,17,44,34.0,22,89.0,10,2,5,3,0,0,5,3,56,1.13,0.1,1
38,81361.0,0,1,778.0,29.923076923076923,163,23,424,27.0,65,76.0,26,3,10,13,0,0,4,1,18,0.34,0.038461538461538464,1
65,29440.0,2,3,56.0,11.2,17,8,14,10.0,4,3.0,5,1,0,4,0,0,8,7,95,0.88,0.4,2
55,36138.0,2,3,151.0,18.875,130,0,16,0.0,0,5.0,8,3,1,4,1,0,10,7,48,0.95,0.625,5
68,50388.0,1,2,372.0,28.615384615384617,292,6,37,0.0,3,34.0,13,6,1,6,2,1,13,7,3,0.09,0.3076923076923077,4
52,79593.0,0,1,1283.5,71.30555555555556,350,60,556,110.0,81,126.5,18,5,6,7,1,0,7,2,70,0.13,0.05555555555555555,1
58,54178.0,1,2,194.0,21.555555555555557,135,9,39,4.0,0,7.0,9,2,2,5,0,0,4,2,79,0.44,0.1111111111111111,1
68,51381.5,3,4,603.0,35.470588235294116,230,42,192,49.0,37,53.0,17,7,2,8,0,0,16,9,4,1.61,0.7058823529411765,12
68,51381.5,2,3,18.0,6.0,7,0,8,2.0,0,1.0,3,1,0,2,0,0,8,7,45,0.09,0.3333333333333333,1
52,51381.5,0,1,985.0,70.35714285714286,445,37,359,98.0,28,18.0,14,2,4,8,0,0,3,1,87,0.6,0.07142857142857142,1
53,42394.0,1,2,32.0,8.0,15,2,10,0.0,1,4.0,4,1,0,3,0,0,8,7,69,0.27,0.25,1
55,23626.0,1,2,43.0,6.142857142857143,27,2,14,0.0,0,0.0,7,3,1,3,0,0,8,5,84,0.1,0.42857142857142855,3
42,30096.0,1,2,45.0,9.0,5,3,11,12.0,5,9.0,5,2,0,3,0,0,8,6,30,0.1,0.2,1
65,47916.0,1,2,606.0,35.64705882352941,505,0,26,0.0,0,75.0,17,7,4,6,1,0,13,6,72,1.6,0.29411764705882354,5
53,51813.0,2,3,63.0,12.6,51,2,7,0.0,1,2.0,5,2,0,3,0,0,9,7,37,1.22,0.4,2
74,78497.0,0,1,881.5,36.729166666666664,207,26,447,75.0,0,126.5,24,5,7,12,1,0,7,2,44,0.57,0.041666666666666664,1
42,50150.0,0,1,410.0,29.285714285714285,135,46,92,65.0,61,11.0,14,5,2,7,0,0,10,5,32,1.02,0.14285714285714285,2
65,47823.0,1,2,72.0,14.4,53,1,5,2.0,1,10.0,5,2,0,3,0,0,10,8,0,0.93,0.4,2
66,34554.0,1,2,55.0,11.0,41,1,6,2.0,0,5.0,5,2,0,3,0,0,8,6,43,0.25,0.4,2
46,85693.0,1,2,962.5,38.5,386,81,183,120.5,81,111.0,25,9,5,11,0,0,14,5,59,1.19,0.08,2
80,65846.0,0,1,1120.0,74.66666666666667,562,81,276,80.0,40,81.0,15,6,3,6,0,0,10,4,68,1.12,0.06666666666666667,1
66,87195.0,0,1,963.0,50.68421052631579,217,76,556,50.0,26,38.0,19,3,11,5,0,1,4,1,35,0.14,0.05263157894736842,1
46,24594.0,1,2,29.0,7.25,1,3,6,10.0,0,9.0,4,1,0,3,0,0,6,5,94,0.55,0.25,1
61,49096.0,2,3,187.0,20.77777777777778,144,1,32,2.0,1,7.0,9,4,1,4,0,0,11,7,15,0.76,0.4444444444444444,4
56,52413.0,2,3,868.0,39.45454545454545,295,81,271,75.0,81,65.0,22,6,4,12,0,0,12,6,56,1.4,0.18181818181818182,4
47,38557.0,1,2,145.0,20.714285714285715,76,3,31,4.0,4,27.0,7,3,1,3,0,0,10,7,17,1.52,0.2857142857142857,2
65,89058.0,0,1,737.0,56.69230769230769,454,81,106,31.0,22,43.0,13,5,4,4,0,0,7,2,18,1.56,0.07692307692307693,1
46,77298.0,1,2,935.0,40.65217391304348,425,81,292,23.0,35,79.0,23,6,6,11,0,0,9,3,46,0.65,0.043478260869565216,1
34,68126.0,0,1,1712.0,107.0,1224,17,311,23.0,51,86.0,16,7,4,5,1,1,16,9,40,1.63,0.0625,1
62,57288.0,1,2,608.0,35.76470588235294,527,0,21,0.0,0,60.0,17,8,1,8,1,0,14,6,27,0.01,0.17647058823529413,3
34,86037.0,0,1,730.0,30.416666666666668,490,44,125,29.0,20,22.0,24,6,7,11,2,1,9,3,95,1.49,0.041666666666666664,1
45,43974.0,1,2,551.0,34.4375,378,0,101,0.0,0,72.0,16,6,4,6,0,0,13,7,19,1.54,0.3125,5
63,50785.0,2,3,114.0,19.0,64,1,21,0.0,1,27.0,6,2,1,3,0,0,8,6,27,0.8,0.3333333333333333,2
55,90765.0,0,1,1418.5,94.56666666666666,547,81,556,120.5,81,33.0,15,4,6,5,2,0,5,1,25,0.43,0.0,0
47,36550.0,1,2,543.5,36.233333333333334,47,81,94,120.5,81,120.0,15,9,1,5,0,0,18,9,74,1.36,0.3333333333333333,5
58,30753.0,2,3,81.0,16.2,12,5,25,0.0,9,30.0,5,1,1,3,0,0,6,5,85,0.97,0.4,2
56,21918.0,1,2,33.0,6.6,1,6,7,11.0,5,3.0,5,2,0,3,0,0,8,6,37,0.62,0.4,2
72,56129.0,1,2,660.0,36.666666666666664,320,48,133,39.0,72,48.0,18,6,2,10,0,0,10,4,65,1.02,0.2222222222222222,4
58,32557.0,1,2,80.0,13.333333333333334,34,3,29,0.0,4,10.0,6,2,1,3,0,1,7,5,13,0.34,0.5,3
40,19510.0,2,3,30.0,7.5,9,0,7,3.0,4,7.0,4,1,0,3,0,0,8,7,63,0.82,0.5,2
49,30992.0,1,2,43.0,10.75,17,0,14,7.0,3,2.0,4,1,0,3,0,0,8,7,83,1.19,0.25,1
42,101970.0,0,1,1093.5,40.5,722,27,102,44.0,72,126.5,27,6,8,13,3,1,8,2,69,1.3,0.0,0
60,71488.0,0,1,513.5,36.67857142857143,162,33,124,40.0,28,126.5,14,3,4,7,0,0,4,1,87,1.36,0.14285714285714285,2
41,79607.0,0,1,1334.0,88.93333333333334,450,81,556,120.5,0,126.5,15,3,6,6,0,1,4,1,37,1.19,0.06666666666666667,1
72,54348.0,2,3,90.0,15.0,70,0,16,0.0,0,4.0,6,2,0,4,0,0,8,6,51,0.06,0.3333333333333333,2
64,51381.5,1,2,404.0,28.857142857142858,352,0,27,10.0,0,15.0,14,6,1,7,0,0,12,6,23,0.97,0.21428571428571427,3
69,77376.0,2,3,661.0,34.78947368421053,492,19,110,16.0,12,12.0,19,6,3,10,0,0,10,4,72,0.14,0.21052631578947367,4
73,62998.0,1,2,455.0,32.5,120,58,73,65.0,81,58.0,14,5,4,5,0,0,10,5,10,0.74,0.35714285714285715,5
67,61331.0,2,3,632.0,35.111111111111114,534,5,47,0.0,5,41.0,18,11,1,6,0,0,19,8,42,1.3,0.2777777777777778,5
56,73448.0,0,1,696.5,38.69444444444444,236,81,189,23.0,41,126.5,18,7,2,9,0,0,11,4,10,0.38,0.05555555555555555,1
62,51381.5,1,2,725.0,40.27777777777778,231,65,196,38.0,71,124.0,18,6,5,7,0,0,10,4,96,0.88,0.05555555555555555,1
61,41551.0,2,3,279.0,25.363636363636363,220,0,33,3.0,0,23.0,11,5,1,5,0,0,13,8,51,0.87,0.45454545454545453,5
58,62981.0,0,1,1448.0,65.81818181818181,796,14,556,38.0,44,0.0,22,4,5,13,1,0,7,3,21,1.28,0.045454545454545456,1
49,9548.0,1,2,29.0,7.25,0,1,3,10.0,6,9.0,4,1,0,3,0,0,9,8,31,1.89,0.5,2
66,33762.0,3,4,106.0,17.666666666666668,53,1,34,2.0,0,16.0,6,2,2,2,0,0,10,8,61,0.98,0.5,3
52,35860.0,2,3,49.0,12.25,15,0,8,4.0,2,20.0,4,1,1,2,1,1,6,5,37,0.11,0.5,2
60,36921.0,2,3,38.0,7.6,17,1,12,3.0,1,4.0,5,2,0,3,0,0,9,7,74,0.92,0.4,2
33,92859.0,0,1,1712.0,81.52380952380952,962,61,556,52.0,61,20.0,21,5,4,12,0,0,7,2,46,1.69,0.047619047619047616,1
49,65104.0,1,2,1053.0,70.2,738,0,232,13.0,20,50.0,15,3,5,7,0,1,10,7,4,0.62,0.13333333333333333,2
63,86111.0,0,1,1185.0,53.86363636363637,399,28,556,36.0,40,126.0,22,5,7,10,0,0,7,2,73,1.19,0.045454545454545456,1
51,68352.0,1,2,871.0,39.59090909090909,614,16,132,43.0,33,33.0,22,8,5,9,0,0,14,6,47,0.84,0.13636363636363635,3
37,41883.0,1,2,312.0,34.666666666666664,32,34,41,73.0,16,116.0,9,4,2,3,0,0,11,7,13,1.28,0.3333333333333333,3
49,59809.0,2,3,877.0,73.08333333333333,598,16,141,32.0,41,49.0,12,3,3,6,0,0,11,8,36,1.69,0.25,3
50,23957.0,1,2,68.0,13.6,2,1,18,20.0,11,16.0,5,2,0,3,0,1,8,6,47,1.67,0.2,1
44,38547.0,1,2,22.0,7.333333333333333,6,1,10,0.0,1,4.0,3,1,0,2,0,0,9,8,49,0.84,0.3333333333333333,1
52,35688.0,3,4,211.0,23.444444444444443,73,3,90,12.0,1,32.0,9,4,1,4,0,0,12,8,94,1.85,0.7777777777777778,7
59,49605.0,0,1,127.0,18.142857142857142,42,16,29,12.0,20,8.0,7,2,1,4,0,0,5,3,65,0.02,0.14285714285714285,1
72,59354.0,2,3,459.0,30.6,295,21,78,39.0,13,13.0,15,4,4,7,0,0,7,3,59,0.18,0.06666666666666667,1
56,65747.0,1,2,460.0,30.666666666666668,346,17,48,23.0,13,13.0,15,8,1,6,1,0,14,6,96,0.31,0.26666666666666666,4
53,46344.0,1,2,429.0,33.0,233,20,57,8.0,20,91.0,13,7,1,5,0,0,14,7,28,1.54,0.3076923076923077,4
37,34176.0,1,2,89.0,12.714285714285714,5,7,24,19.0,14,20.0,7,3,0,4,0,0,9,6,12,0.13,0.5714285714285714,4
73,61010.0,1,2,1021.0,42.541666666666664,888,0,57,0.0,0,76.0,24,8,5,11,0,0,13,5,57,1.72,0.08333333333333333,2
76,69372.0,0,1,1381.0,69.05,997,26,269,34.0,13,42.0,20,10,4,6,2,1,14,4,10,1.36,0.05,1
67,49967.0,1,2,306.0,25.5,212,6,69,4.0,12,3.0,12,6,1,5,0,0,13,7,4,0.97,0.25,3
47,60199.0,3,4,18.0,6.0,8,1,7,2.0,0,0.0,3,0,0,3,0,0,4,4,49,0.79,0.3333333333333333,1
48,55375.0,1,2,162.0,20.25,42,11,57,10.0,28,14.0,8,1,1,6,0,0,3,2,3,0.7,0.125,1
70,80317.0,0,1,1192.5,70.1470588235294,536,11,387,120.5,81,57.0,17,3,4,10,0,0,4,1,64,0.86,0.058823529411764705,1
67,30523.0,3,4,13.0,4.333333333333333,5,0,3,0.0,0,5.0,3,1,0,2,0,0,8,7,0,0.99,0.3333333333333333,1
80,70356.0,0,1,1581.0,63.24,1224,16,249,43.0,16,33.0,25,10,6,9,0,0,16,6,20,1.65,0.08,2
41,23228.0,1,2,121.0,17.285714285714285,53,3,49,7.0,4,5.0,7,3,0,4,0,0,11,8,91,0.48,0.5714285714285714,4
50,74165.0,0,1,1293.0,68.05263157894737,1001,12,240,16.0,12,12.0,19,5,4,10,0,0,7,2,9,1.16,0.05263157894736842,1
52,117418.0,1,2,582.0,26.454545454545453,20,2,556,1.0,2,1.0,22,0,22,0,0,0,0,0,98,0.33,0.6818181818181818,15
59,43482.0,3,4,88.0,14.666666666666666,18,1,32,6.0,3,28.0,6,2,0,4,0,0,8,6,83,0.62,0.5,3
72,62551.0,0,1,407.5,23.970588235294116,125,16,98,120.5,21,27.0,17,6,7,4,1,0,9,3,27,0.61,0.058823529411764705,1
66,52332.0,0,1,259.0,23.545454545454547,212,5,33,7.0,0,2.0,11,3,2,6,1,0,7,4,63,0.84,0.09090909090909091,1
37,66951.0,0,1,983.5,70.25,277,81,305,120.5,76,124.0,14,3,4,7,0,0,4,1,46,0.65,0.07142857142857142,1
68,26091.0,2,3,89.0,14.833333333333334,15,10,19,8.0,17,20.0,6,2,1,3,0,0,7,5,84,0.34,0.5,3
60,33456.0,2,3,36.0,9.0,7,3,10,8.0,1,7.0,4,1,0,3,0,0,8,7,58,0.19,0.5,2
43,28718.0,1,2,57.0,11.4,12,4,6,11.0,8,16.0,5,2,0,3,0,0,10,8,78,0.96,0.4,2
55,50447.0,2,3,148.0,21.142857142857142,85,7,24,2.0,3,27.0,7,3,1,3,0,0,9,6,4,0.19,0.14285714285714285,1
66,53537.0,2,3,93.0,15.5,81,0,6,0.0,0,6.0,6,2,1,3,0,0,7,5,17,0.41,0.3333333333333333,2
58,52074.0,1,2,119.0,19.833333333333332,59,0,12,0.0,0,48.0,6,2,2,2,1,0,6,4,77,0.24,0.16666666666666666,1
50,80427.0,1,2,1835.0,67.96296296296296,1149,71,449,69.0,71,26.0,27,11,8,8,0,0,16,5,56,1.79,0.037037037037037035,1
77,83837.0,0,1,1310.0,54.583333333333336,847,66,119,86.0,81,111.0,24,9,10,5,2,1,13,4,79,1.53,0.041666666666666664,1
55,38853.0,2,3,45.0,9.0,29,0,14,0.0,0,2.0,5,2,0,3,0,0,9,7,90,0.1,0.4,2
66,38285.0,3,4,10.0,3.3333333333333335,2,0,5,2.0,0,1.0,3,0,0,3,0,0,2,2,96,0.01,0.3333333333333333,1
74,78497.0,0,1,881.5,36.729166666666664,207,26,447,75.0,0,126.5,24,5,7,12,1,0,7,2,44,0.57,0.041666666666666664,1
49,51650.0,1,2,191.0,21.22222222222222,152,3,22,2.0,5,7.0,9,4,1,4,0,0,9,5,81,0.13,0.1111111111111111,1
37,16248.0,1,2,57.0,9.5,12,11,10,3.0,12,9.0,6,2,1,3,0,0,8,6,77,0.14,0.5,3
79,66835.0,0,1,1018.5,44.28260869565217,620,26,195,34.0,17,126.5,23,6,4,13,0,0,8,2,21,0.75,0.043478260869565216,1
41,30477.0,1,2,66.0,13.2,47,1,6,0.0,0,12.0,5,1,1,3,0,0,7,6,16,0.43,0.2,1
64,28249.0,0,1,43.0,8.6,1,9,7,2.0,14,10.0,5,2,0,3,0,0,8,6,80,0.04,0.2,1
42,25271.0,1,2,50.0,12.5,10,1,18,10.0,4,7.0,4,1,1,2,0,0,10,9,45,1.56,0.25,1
55,32303.0,1,2,39.0,7.8,35,0,2,0.0,0,2.0,5,1,0,4,0,0,6,5,63,0.31,0.4,2
59,61286.0,1,2,608.0,38.0,356,0,107,19.0,9,117.0,16,7,1,8,0,0,12,5,34,0.91,0.125,2
49,74068.0,0,1,1561.5,67.8913043478261,783,30,537,120.5,76,15.0,23,4,10,9,0,0,6,2,14,1.28,0.043478260869565216,1
61,45759.0,2,3,68.0,13.6,42,1,18,3.0,0,4.0,5,2,0,3,0,0,9,7,13,1.34,0.4,2
47,24882.0,1,2,80.0,20.0,1,4,10,29.0,0,36.0,4,1,1,2,1,0,7,6,52,1.8,0.25,1
36,66973.0,0,1,1223.5,45.31481481481482,466,22,432,120.5,81,102.0,27,8,7,12,0,0,11,3,98,1.12,0.037037037037037035,1
37,38872.0,1,2,91.0,15.166666666666666,23,3,21,3.0,19,22.0,6,3,0,3,0,0,11,8,93,1.08,0.3333333333333333,2
52,51148.0,2,3,315.0,26.25,235,6,45,8.0,9,12.0,12,5,1,6,0,0,11,6,38,1.36,0.3333333333333333,4
48,31353.0,2,3,31.0,7.75,10,0,10,3.0,1,7.0,4,1,1,2,0,0,9,8,24,0.5,0.5,2
45,69661.0,0,1,834.0,37.90909090909091,656,16,106,32.0,16,8.0,22,7,3,12,0,0,10,3,80,0.13,0.045454545454545456,1
71,80067.0,0,1,1251.0,78.1875,519,17,556,27.0,81,51.0,16,4,6,6,1,0,6,2,82,0.77,0.0625,1
71,86718.0,0,1,1116.5,69.78125,344,81,482,50.0,33,126.5,16,5,6,5,0,0,7,2,20,1.45,0.0625,1
